| time |  address   |zr |ng |instr|reset|   pc   |
| 0+   |          0 | 0 | 0 | 000 |  0  |      0 |
| 1    |          0 | 0 | 0 | 000 |  0  |      1 |
| 1+   |         55 | 0 | 0 | 001 |  0  |      1 |
| 2    |         55 | 0 | 0 | 001 |  0  |      2 |
| 2+   |         55 | 0 | 0 | 001 |  0  |      2 |
| 3    |         55 | 0 | 0 | 001 |  0  |      3 |
| 3+   |        123 | 1 | 0 | 010 |  0  |      3 |
| 4    |        123 | 1 | 0 | 010 |  0  |    123 |
| 4+   |        123 | 1 | 0 | 010 |  0  |    123 |
| 5    |        123 | 1 | 0 | 010 |  0  |    123 |
